theta	val
0 	0.477465
0.01 	0.477322
0.02 	0.476892
0.03 	0.476179
0.04 	0.475182
0.05 	0.473907
0.06 	0.472356
0.07 	0.470534
0.08 	0.468447
0.09 	0.466101
0.1 	0.463502
0.11 	0.460659
0.12 	0.45758
0.13 	0.454273
0.14 	0.450747
0.15 	0.447012
0.16 	0.443079
0.17 	0.438957
0.18 	0.434657
0.19 	0.430189
0.2 	0.425565
0.21 	0.420796
0.22 	0.415893
0.23 	0.410867
0.24 	0.405728
0.25 	0.400487
0.26 	0.395156
0.27 	0.389745
0.28 	0.384264
0.29 	0.378723
0.3 	0.373131
0.31 	0.367499
0.32 	0.361836
0.33 	0.356149
0.34 	0.350448
0.35 	0.34474
0.36 	0.339034
0.37 	0.333336
0.38 	0.327653
0.39 	0.321991
0.4 	0.316358
0.41 	0.310757
0.42 	0.305196
0.43 	0.299678
0.44 	0.294208
0.45 	0.28879
0.46 	0.283428
0.47 	0.278126
0.48 	0.272887
0.49 	0.267713
0.5 	0.262607
0.51 	0.257572
0.52 	0.252609
0.53 	0.24772
0.54 	0.242906
0.55 	0.238169
0.56 	0.23351
0.57 	0.22893
0.58 	0.224429
0.59 	0.220008
0.6 	0.215666
0.61 	0.211405
0.62 	0.207224
0.63 	0.203123
0.64 	0.199101
0.65 	0.195159
0.66 	0.191295
0.67 	0.187509
0.68 	0.183801
0.69 	0.18017
0.7 	0.176615
0.71 	0.173134
0.72 	0.169728
0.73 	0.166395
0.74 	0.163133
0.75 	0.159943
0.76 	0.156823
0.77 	0.153771
0.78 	0.150787
0.79 	0.147869
0.8 	0.145017
0.81 	0.142228
0.82 	0.139503
0.83 	0.136839
0.84 	0.134235
0.85 	0.131691
0.86 	0.129204
0.87 	0.126774
0.88 	0.1244
0.89 	0.122081
0.9 	0.119814
0.91 	0.117599
0.92 	0.115436
0.93 	0.113322
0.94 	0.111257
0.95 	0.109239
0.96 	0.107268
0.97 	0.105342
0.98 	0.10346
0.99 	0.101622
1 	0.0998255
1.01 	0.0980705
1.02 	0.0963558
1.03 	0.0946803
1.04 	0.0930433
1.05 	0.0914436
1.06 	0.0898804
1.07 	0.0883528
1.08 	0.08686
1.09 	0.0854011
1.1 	0.0839753
1.11 	0.0825817
1.12 	0.0812196
1.13 	0.0798882
1.14 	0.0785867
1.15 	0.0773144
1.16 	0.0760706
1.17 	0.0748546
1.18 	0.0736657
1.19 	0.0725032
1.2 	0.0713665
1.21 	0.0702549
1.22 	0.0691679
1.23 	0.0681047
1.24 	0.0670649
1.25 	0.0660478
1.26 	0.065053
1.27 	0.0640797
1.28 	0.0631276
1.29 	0.0621961
1.3 	0.0612847
1.31 	0.0603928
1.32 	0.0595201
1.33 	0.0586661
1.34 	0.0578303
1.35 	0.0570122
1.36 	0.0562114
1.37 	0.0554276
1.38 	0.0546603
1.39 	0.0539091
1.4 	0.0531736
1.41 	0.0524534
1.42 	0.0517483
1.43 	0.0510577
1.44 	0.0503815
1.45 	0.0497191
1.46 	0.0490704
1.47 	0.048435
1.48 	0.0478125
1.49 	0.0472027
1.5 	0.0466053
1.51 	0.04602
1.52 	0.0454465
1.53 	0.0448845
1.54 	0.0443337
1.55 	0.043794
1.56 	0.0432651
1.57 	0.0427466
1.58 	0.0422384
1.59 	0.0417402
1.6 	0.0412519
1.61 	0.0407731
1.62 	0.0403038
1.63 	0.0398435
1.64 	0.0393923
1.65 	0.0389497
1.66 	0.0385158
1.67 	0.0380902
1.68 	0.0376729
1.69 	0.0372635
1.7 	0.036862
1.71 	0.0364681
1.72 	0.0360817
1.73 	0.0357027
1.74 	0.0353309
1.75 	0.0349661
1.76 	0.0346081
1.77 	0.0342569
1.78 	0.0339123
1.79 	0.0335742
1.8 	0.0332423
1.81 	0.0329167
1.82 	0.0325971
1.83 	0.0322834
1.84 	0.0319756
1.85 	0.0316734
1.86 	0.0313768
1.87 	0.0310857
1.88 	0.0307999
1.89 	0.0305193
1.9 	0.0302439
1.91 	0.0299736
1.92 	0.0297081
1.93 	0.0294476
1.94 	0.0291917
1.95 	0.0289405
1.96 	0.0286939
1.97 	0.0284517
1.98 	0.0282139
1.99 	0.0279804
2 	0.0277512
2.01 	0.0275261
2.02 	0.027305
2.03 	0.0270879
2.04 	0.0268748
2.05 	0.0266654
2.06 	0.0264599
2.07 	0.026258
2.08 	0.0260598
2.09 	0.0258651
2.1 	0.025674
2.11 	0.0254862
2.12 	0.0253019
2.13 	0.0251208
2.14 	0.0249431
2.15 	0.0247685
2.16 	0.0245971
2.17 	0.0244287
2.18 	0.0242634
2.19 	0.0241011
2.2 	0.0239417
2.21 	0.0237852
2.22 	0.0236316
2.23 	0.0234807
2.24 	0.0233326
2.25 	0.0231872
2.26 	0.0230444
2.27 	0.0229043
2.28 	0.0227667
2.29 	0.0226316
2.3 	0.0224991
2.31 	0.0223689
2.32 	0.0222412
2.33 	0.0221159
2.34 	0.0219929
2.35 	0.0218723
2.36 	0.0217539
2.37 	0.0216377
2.38 	0.0215237
2.39 	0.0214119
2.4 	0.0213023
2.41 	0.0211947
2.42 	0.0210892
2.43 	0.0209858
2.44 	0.0208844
2.45 	0.020785
2.46 	0.0206875
2.47 	0.020592
2.48 	0.0204984
2.49 	0.0204067
2.5 	0.0203169
2.51 	0.0202289
2.52 	0.0201427
2.53 	0.0200583
2.54 	0.0199757
2.55 	0.0198948
2.56 	0.0198157
2.57 	0.0197382
2.58 	0.0196625
2.59 	0.0195884
2.6 	0.0195159
2.61 	0.0194451
2.62 	0.0193759
2.63 	0.0193083
2.64 	0.0192423
2.65 	0.0191778
2.66 	0.0191148
2.67 	0.0190534
2.68 	0.0189935
2.69 	0.0189351
2.7 	0.0188782
2.71 	0.0188228
2.72 	0.0187688
2.73 	0.0187162
2.74 	0.0186651
2.75 	0.0186154
2.76 	0.018567
2.77 	0.0185201
2.78 	0.0184746
2.79 	0.0184304
2.8 	0.0183876
2.81 	0.0183461
2.82 	0.018306
2.83 	0.0182672
2.84 	0.0182297
2.85 	0.0181935
2.86 	0.0181586
2.87 	0.018125
2.88 	0.0180927
2.89 	0.0180616
2.9 	0.0180319
